trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216SUN_026950_A..S74R,05:18:30,05:18:30,A40S,30,,0,0,
B20121216SUN_040100_A..N55R,07:32:30,07:32:30,A40N,20,,0,0,
B20121216SUN_043550_A..N54R,07:44:30,07:44:30,A40N,14,,0,0,
B20121216SUN_028950_A..S74R,05:38:30,05:38:30,A40S,30,,0,0,
B20121216SUN_042450_A..N55R,07:54:30,07:54:30,A40N,20,,0,0,
B20121216SUN_045550_A..N54R,08:04:30,08:04:30,A40N,14,,0,0,
B20121216SUN_030950_A..S74R,05:58:30,05:58:30,A40S,30,,0,0,
B20121216SUN_044450_A..N55R,08:14:30,08:14:30,A40N,20,,0,0,
B20121216SUN_047550_A..N54R,08:24:30,08:24:30,A40N,14,,0,0,
B20121216SUN_032950_A..S74R,06:18:30,06:18:30,A40S,30,,0,0,
B20121216SUN_046450_A..N55R,08:34:30,08:34:30,A40N,20,,0,0,
B20121216SUN_049550_A..N54R,08:44:30,08:44:30,A40N,14,,0,0,
B20121216SUN_034950_A..S74R,06:38:30,06:38:30,A40S,30,,0,0,
B20121216SUN_048450_A..N55R,08:54:30,08:54:30,A40N,20,,0,0,
B20121216SUN_051550_A..N54R,09:04:30,09:04:30,A40N,14,,0,0,
B20121216SUN_036950_A..S74R,06:58:30,06:58:30,A40S,30,,0,0,
B20121216SUN_050450_A..N55R,09:15:30,09:15:30,A40N,20,,0,0,
B20121216SUN_053550_A..N54R,09:24:30,09:24:30,A40N,14,,0,0,
B20121216SUN_038600_A..S74R,07:13:30,07:13:30,A40S,30,,0,0,
B20121216SUN_052450_A..N55R,09:34:30,09:34:30,A40N,20,,0,0,
B20121216SUN_055550_A..N54R,09:44:30,09:44:30,A40N,14,,0,0,
B20121216SUN_040000_A..S74R,07:27:30,07:27:30,A40S,30,,0,0,
B20121216SUN_054450_A..N55R,09:54:30,09:54:30,A40N,20,,0,0,
B20121216SUN_041950_A..S54R,07:40:30,07:40:30,A40S,17,,0,0,
B20121216SUN_057550_A..N54R,10:04:30,10:04:30,A40N,14,,0,0,
B20121216SUN_043150_A..S55R,07:55:00,07:55:00,A40S,17,,0,0,
B20121216SUN_056450_A..N55R,10:15:30,10:15:30,A40N,20,,0,0,
B20121216SUN_044950_A..S54R,08:10:30,08:10:30,A40S,17,,0,0,
B20121216SUN_059550_A..N54R,10:24:30,10:24:30,A40N,14,,0,0,
B20121216SUN_046150_A..S55R,08:22:30,08:22:30,A40S,17,,0,0,
B20121216SUN_058450_A..N55R,10:34:30,10:34:30,A40N,20,,0,0,
B20121216SUN_061550_A..N54R,10:44:30,10:44:30,A40N,14,,0,0,
B20121216SUN_047350_A..S54R,08:34:30,08:34:30,A40S,17,,0,0,
B20121216SUN_048550_A..S55R,08:46:30,08:46:30,A40S,17,,0,0,
B20121216SUN_060450_A..N55R,10:54:30,10:54:30,A40N,20,,0,0,
B20121216SUN_063550_A..N54R,11:04:30,11:04:30,A40N,14,,0,0,
B20121216SUN_049750_A..S54R,08:58:30,08:58:30,A40S,17,,0,0,
B20121216SUN_050950_A..S55R,09:10:30,09:10:30,A40S,17,,0,0,
B20121216SUN_062450_A..N55R,11:14:30,11:14:30,A40N,20,,0,0,
B20121216SUN_065550_A..N54R,11:24:30,11:24:30,A40N,14,,0,0,
B20121216SUN_052150_A..S54R,09:22:30,09:22:30,A40S,17,,0,0,
B20121216SUN_053350_A..S55R,09:34:30,09:34:30,A40S,17,,0,0,
B20121216SUN_064450_A..N55R,11:34:30,11:34:30,A40N,20,,0,0,
B20121216SUN_067550_A..N54R,11:44:30,11:44:30,A40N,14,,0,0,
B20121216SUN_066450_A..N55R,11:54:30,11:54:30,A40N,20,,0,0,
B20121216SUN_054550_A..S54R,09:46:30,09:46:30,A40S,17,,0,0,
B20121216SUN_069550_A..N54R,12:04:30,12:04:30,A40N,14,,0,0,
B20121216SUN_055750_A..S55R,09:58:30,09:58:30,A40S,17,,0,0,
B20121216SUN_068450_A..N55R,12:14:30,12:14:30,A40N,20,,0,0,
B20121216SUN_071550_A..N54R,12:24:30,12:24:30,A40N,14,,0,0,
B20121216SUN_056950_A..S54R,10:10:30,10:10:30,A40S,17,,0,0,
B20121216SUN_058150_A..S55R,10:22:30,10:22:30,A40S,17,,0,0,
B20121216SUN_070450_A..N55R,12:34:30,12:34:30,A40N,20,,0,0,
B20121216SUN_073550_A..N54R,12:44:30,12:44:30,A40N,14,,0,0,
B20121216SUN_059350_A..S54R,10:34:30,10:34:30,A40S,17,,0,0,
B20121216SUN_060550_A..S55R,10:46:30,10:46:30,A40S,17,,0,0,
B20121216SUN_072450_A..N55R,12:54:30,12:54:30,A40N,20,,0,0,
B20121216SUN_075550_A..N54R,13:04:30,13:04:30,A40N,14,,0,0,
B20121216SUN_061750_A..S54R,10:58:30,10:58:30,A40S,17,,0,0,
B20121216SUN_062950_A..S55R,11:10:30,11:10:30,A40S,17,,0,0,
B20121216SUN_074450_A..N55R,13:14:30,13:14:30,A40N,20,,0,0,
B20121216SUN_077550_A..N54R,13:24:30,13:24:30,A40N,14,,0,0,
B20121216SUN_063950_A..S54R,11:20:30,11:20:30,A40S,17,,0,0,
B20121216SUN_064950_A..S55R,11:30:30,11:30:30,A40S,17,,0,0,
B20121216SUN_076450_A..N55R,13:34:30,13:34:30,A40N,20,,0,0,
B20121216SUN_079550_A..N54R,13:44:30,13:44:30,A40N,14,,0,0,
B20121216SUN_065950_A..S54R,11:40:30,11:40:30,A40S,17,,0,0,
B20121216SUN_066950_A..S55R,11:50:30,11:50:30,A40S,17,,0,0,
B20121216SUN_078450_A..N55R,13:54:30,13:54:30,A40N,20,,0,0,
B20121216SUN_081550_A..N54R,14:04:30,14:04:30,A40N,14,,0,0,
B20121216SUN_067950_A..S54R,12:00:30,12:00:30,A40S,17,,0,0,
B20121216SUN_068950_A..S55R,12:10:30,12:10:30,A40S,17,,0,0,
B20121216SUN_080450_A..N55R,14:14:30,14:14:30,A40N,20,,0,0,
B20121216SUN_083550_A..N54R,14:24:30,14:24:30,A40N,14,,0,0,
B20121216SUN_069950_A..S54R,12:20:30,12:20:30,A40S,17,,0,0,
B20121216SUN_070950_A..S55R,12:30:30,12:30:30,A40S,17,,0,0,
B20121216SUN_082450_A..N55R,14:34:30,14:34:30,A40N,20,,0,0,
B20121216SUN_071950_A..S54R,12:40:30,12:40:30,A40S,17,,0,0,
B20121216SUN_085550_A..N54R,14:44:30,14:44:30,A40N,14,,0,0,
B20121216SUN_072950_A..S55R,12:50:30,12:50:30,A40S,17,,0,0,
B20121216SUN_084450_A..N55R,14:54:30,14:54:30,A40N,20,,0,0,
B20121216SUN_073950_A..S54R,13:00:30,13:00:30,A40S,17,,0,0,
B20121216SUN_087550_A..N54R,15:04:30,15:04:30,A40N,14,,0,0,
B20121216SUN_074950_A..S55R,13:10:30,13:10:30,A40S,17,,0,0,
B20121216SUN_086450_A..N55R,15:14:30,15:14:30,A40N,20,,0,0,
B20121216SUN_075950_A..S54R,13:20:30,13:20:30,A40S,17,,0,0,
B20121216SUN_089550_A..N54R,15:24:30,15:24:30,A40N,14,,0,0,
B20121216SUN_076950_A..S55R,13:30:30,13:30:30,A40S,17,,0,0,
B20121216SUN_088450_A..N55R,15:34:30,15:34:30,A40N,20,,0,0,
B20121216SUN_077950_A..S54R,13:40:30,13:40:30,A40S,17,,0,0,
